instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,pctghum,windspeed,comfindex,casual,registered,cnt,simurevenue
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,48%,0.2239,0.12883,10,202,212,343.0
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,48%,0.194,0.1238,3,179,182,280.5
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,48%,0.1045,0.13665,2,110,112,173.0
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,48%,0.1045,0.13665,1,53,54,83.5
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,64%,0.0,0.154,0,48,48,72.0
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,64%,0.0896,0.12712,1,34,35,55.0
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,69%,0.0896,0.11311999999999998,2,9,11,21.5
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,64%,0.0,0.13999999999999999,0,6,6,9.0
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,74%,0.0896,0.08511999999999999,0,6,6,9.0
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,74%,0.0896,0.08511999999999999,0,2,2,3.0
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,48%,0.2239,0.10082999999999999,0,2,2,3.0
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,47%,0.1642,0.10474,0,3,3,4.5
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,47%,0.2239,0.07282999999999999,0,33,33,49.5
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,43%,0.194,0.0678,1,87,88,134.5
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,40%,0.2985,0.050449999999999995,3,192,195,300.0
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,37%,0.3284,0.05547999999999999,6,109,115,187.5
102,2011-01-05,1,0,1,10,0,3,1,1,,0.197,0.37,37%,0.3284,,4,53,57,95.5
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,33%,0.3284,0.08347999999999998,12,34,46,99.0
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,33%,0.3284,0.08347999999999998,5,74,79,131.0
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,30%,0.2985,0.10645000000000002,6,65,71,121.5
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,28%,0.194,0.1518,10,52,62,118.0
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,28%,0.194,0.1518,7,55,62,110.5
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,28%,0.0896,0.18312,4,85,89,143.5
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,38%,0.194,0.10979999999999998,4,186,190,295.0
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,38%,0.1343,0.12771,3,166,169,261.0
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,38%,0.1045,0.13665,5,127,132,210.5
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,47%,0.1642,0.10474,7,82,89,151.0
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,51%,0.194,0.08179999999999998,3,40,43,72.0
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,55%,0.1343,0.08571000000000001,1,41,42,65.5
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,47%,0.0,0.13999999999999999,1,18,19,31.0
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,55%,0.0,0.126,0,11,11,16.5
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,64%,0.0,0.11199999999999999,0,4,4,6.0
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,64%,0.0,0.11199999999999999,0,2,2,3.0
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,64%,0.0896,0.08511999999999999,0,1,1,1.5
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,69%,0.0896,0.07112,0,4,4,6.0
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,63%,0.1045,0.06665000000000001,0,36,36,54.0
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,59%,0.0,0.11199999999999999,0,95,95,142.5
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,59%,0.0,0.11199999999999999,3,216,219,336.0
124,2011-01-06,1,0,1,9,0,4,1,2,,0.2424,0.51,51%,0.0,,6,116,122,198.0
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,47%,0.0,0.13999999999999999,3,42,45,75.0
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,44%,0.0896,0.12712,2,57,59,93.5
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,35%,0.0,0.182,6,78,84,141.0
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,35%,0.1045,0.15065,12,55,67,130.5
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,36%,0.1642,0.14674,11,59,70,132.5
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,36%,0.0,0.196,8,54,62,113.0
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,38%,0.1642,0.13274,12,74,86,159.0
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,51%,0.1642,0.10474,9,163,172,280.5
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,51%,0.1343,0.11371,5,158,163,257.0
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,55%,0.0896,0.12712,3,109,112,175.5
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,51%,0.1642,0.09073999999999999,3,66,69,111.0
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,55%,0.2239,0.08683,0,48,48,72.0
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,51%,0.2836,0.06892,1,51,52,80.5
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,59%,0.194,0.08179999999999998,4,19,23,44.5
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,64%,0.194,0.08179999999999998,4,13,17,35.5
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,69%,0.2239,0.07282999999999999,2,5,7,15.5
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,69%,0.2239,0.07282999999999999,0,1,1,1.5
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,69%,0.1343,0.09971,0,1,1,1.5
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,55%,0.0,0.154,0,5,5,7.5
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,69%,0.0,0.13999999999999999,8,26,34,71.0
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,69%,0.1343,0.09971,8,76,84,146.0
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,51%,0.2537,0.06388999999999999,20,190,210,365.0
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,47%,0.2985,0.050449999999999995,9,125,134,223.5
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,37%,0.3284,0.05547999999999999,16,47,63,134.5
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,40%,0.2239,0.07282999999999999,19,48,67,148.0
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,37%,0.2537,0.06388999999999999,9,50,59,111.0
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,37%,0.2836,0.05491999999999998,9,64,73,132.0
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,40%,0.2537,0.06388999999999999,7,43,50,92.5
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,37%,0.1642,0.09073999999999999,9,63,72,130.5
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,37%,0.1642,0.09073999999999999,5,82,87,143.0
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,37%,0.0,0.13999999999999999,9,178,187,303.0
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,40%,0.0896,0.11311999999999998,7,116,123,202.0
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,55%,0.0896,0.08511999999999999,3,92,95,150.0
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,47%,0.1045,0.09465000000000001,1,50,51,79.0
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,47%,0.1343,0.08571000000000001,0,39,39,58.5
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,43%,0.1642,0.07674,2,34,36,59.0
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,51%,0.1642,0.07674,1,14,15,25.0
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,51%,0.1642,0.07674,1,24,25,40.0
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,55%,0.0896,0.09912,1,15,16,26.5
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,55%,0.0,0.126,3,13,16,31.5
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,55%,0.1642,0.07674,0,7,7,10.5
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,55%,0.1642,0.07674,0,1,1,1.5
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,74%,0.1642,0.06273999999999999,0,5,5,7.5
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,74%,0.1642,0.06273999999999999,0,2,2,3.0
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,74%,0.1045,0.08065,1,8,9,16.0
170,2011-01-08,1,0,1,8,0,6,0,3,,0.1818,0.93,93%,0.1045,,0,15,15,22.5
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,93%,0.1045,0.08065,0,20,20,30.0
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,80%,0.1642,0.07674,5,56,61,104.0
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,69%,0.3881,0.023569999999999994,2,60,62,98.0
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,59%,0.3582,0.032539999999999986,8,90,98,167.0
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,44%,0.3284,0.041479999999999975,7,95,102,170.5
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,32%,0.4925,-0.007750000000000007,12,83,95,172.5
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,32%,0.4478,0.005659999999999998,5,69,74,123.5
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,28%,0.4478,-0.008339999999999986,8,68,76,134.0
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,37%,0.5522,-0.05366000000000001,5,64,69,116.0
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,39%,0.2985,0.008450000000000013,3,52,55,90.0
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,36%,0.2537,0.021890000000000007,4,26,30,55.0
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,36%,0.2537,0.007889999999999994,0,28,28,42.0
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,39%,0.3582,-0.02346000000000001,2,35,37,60.5
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,36%,-0.3881,-0.03243,1,33,34,53.5
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,39%,0.4478,-0.06434,0,22,22,33.0
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,42%,0.3881,-0.04643,1,24,25,40.0
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,42%,0.4627,-0.06881,0,12,12,18.0
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,46%,0.4627,-0.06881,0,11,11,16.5
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,46%,0.4179,-0.05536999999999999,0,4,4,6.0
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,53%,0.194,-0.0022000000000000075,0,1,1,1.5
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,53%,0.194,-0.0022000000000000075,0,1,1,1.5
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,49%,0.2836,-0.01508000000000001,0,1,1,1.5
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,53%,0.194,-0.0022000000000000075,1,5,6,11.5
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,49%,0.2836,-0.01508000000000001,0,10,10,15.0
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,46%,0.5224,-0.07272,0,19,19,28.5
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,43%,0.3881,-0.018429999999999988,0,49,49,73.5
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,40%,0.5224,-0.04472000000000001,2,47,49,78.5
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,37%,0.4478,-0.008339999999999986,4,79,83,134.5
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,34%,0.4478,0.005659999999999998,6,69,75,127.5
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,32%,0.4627,0.015190000000000009,8,64,72,128.0
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,35%,0.3582,0.04654,5,77,82,135.5
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,34%,0.4478,0.005659999999999998,13,79,92,170.5
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,37%,0.3881,0.009570000000000009,3,59,62,100.5
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,40%,0.3284,0.013479999999999978,4,44,48,82.0
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,43%,0.3284,0.013479999999999978,1,40,41,64.0
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,46%,0.2537,0.021890000000000007,0,38,38,57.0
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,46%,0.4179,-0.027369999999999978,1,19,20,32.5
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,46%,0.2985,0.008450000000000013,5,10,15,35.0
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,50%,0.194,0.02579999999999999,0,6,6,9.0
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,50%,0.2836,-0.0010800000000000115,2,3,5,12.5
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,50%,0.2836,-0.0010800000000000115,1,0,1,4.0
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,50%,0.2239,0.016829999999999998,0,3,3,4.5
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,50%,0.2239,0.016829999999999998,0,1,1,1.5
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,54%,0.1343,0.029709999999999993,1,2,3,7.0
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,54%,0.2537,-0.006110000000000004,0,3,3,4.5
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,50%,0.2836,-0.0010800000000000115,0,31,31,46.5
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,50%,0.2239,0.016829999999999998,2,75,77,120.5
218,2011-01-10,1,0,1,8,0,1,1,2,,0.1212,0.5,50%,0.2836,,4,184,188,292.0
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,50%,0.2537,0.021890000000000007,2,92,94,146.0
